Personnel ID,First Name,Last Name,Gender Description,Age,Duty Description,Duty Location,"Employee Status 
(1-4)",Pay Grade,Start Date
HI303398,David,Rodriguez, Male,21,Electrician Journeyman , Storage Areas,4,22,10/21/2019
HI327789,Charles,Martinez, Male,36,Electrician Journeyman , Testing Facilities,4,25,10/28/2019
HI928179,William,Smith, Male,39,Electrician Journeyman , Outfitting Docks,4,25,10/28/2019
HI234527,Richard,Smith, Unknown,37,Electrician Journeyman , Paint Shops,3,28,11/4/2019
HI556594,James,Smith, Male,33,Electrician Journeyman , Outfitting Docks,2,22,11/4/2019
HI744955,Michael,Rodriguez, Male,45,Electrician Journeyman , Storage Areas,2,22,11/18/2019
HI674886,William,Garcia, Male,32,Electrician Journeyman , Wet Docks,3,22,12/16/2019
HI743912,Richard,Williams, Unknown,25,Electrician Journeyman , Cranes and Heavy Lifting Equipment,4,22,12/16/2019
HI593430,Susan,Brown, Female,52,Electrician Journeyman , Storage Areas,2,18,12/23/2019
HI794513,Linda,Rodriguez, Female,51,Electrician Journeyman , Paint Shops,3,18,12/23/2019
HI315455,Patricia,Garcia, Female,24,Electrician Journeyman , Storage Areas,3,28,12/30/2019
HI378045,Charles,Martinez, Male,30,Electrician Journeyman , Fabrication Shops,2,22,1/13/2020
HI267638,John,Martinez, Male,53,Electrician Journeyman , Slipways,3,18,1/13/2020
HI203184,Barbara,Brown, Female,39,Electrician Journeyman , Outfitting Docks,3,22,1/20/2020
HI451107,Patricia,Martinez, Female,40,Electrician Journeyman , Administrative Offices,3,18,1/20/2020
HI946382,Joseph,Davis, Male,22,Electrician Journeyman , Slipways,1,22,1/27/2020
HI631310,Robert,Davis, Male,53,Electrician Journeyman , Cranes and Heavy Lifting Equipment,1,28,2/3/2020
HI757365,John,Williams, Male,43,Electrician Journeyman , Cranes and Heavy Lifting Equipment,1,28,2/10/2020
HI716290,David,Miller, Male,57,Electrician Journeyman , Administrative Offices,3,25,2/10/2020
HI363047,William,Brown, Male,57,Electrician Journeyman , Administrative Offices,2,28,2/24/2020
HI683389,David,Garcia, Unknown,61,Electrician Journeyman , Testing Facilities,1,25,3/2/2020
HI479529,Charles,Smith, Male,65,Electrician Journeyman , Fabrication Shops,2,22,3/9/2020
HI977254,Susan,Williams, Female,49,Electrician Journeyman , Wet Docks,2,18,3/16/2020
HI571359,Robert,Johnson, Male,60,Electrician Journeyman , Paint Shops,3,28,3/23/2020
HI170936,Jennifer,Jones, Female,38,Electrician Journeyman , Administrative Offices,2,25,3/23/2020
HI108033,David,Rodriguez, Unknown,41,Electrician Journeyman , Slipways,3,18,3/30/2020
HI866371,Thomas,Smith, Male,21,Electrician Journeyman , Paint Shops,1,28,3/30/2020
HI948500,John,Garcia, Male,46,Electrician Journeyman , Outfitting Docks,3,22,4/6/2020
HI875977,Susan,Miller, Female,38,Electrician Journeyman , Outfitting Docks,2,25,4/20/2020
HI738216,Joseph,Johnson, Male,60,Electrician Journeyman , Fabrication Shops,2,25,5/4/2020
HI122748,John,Miller, Male,60,Electrician Journeyman , Testing Facilities,1,28,5/11/2020
HI392026,Patricia,Smith, Female,20,Electrician Journeyman , Slipways,2,28,6/1/2020
HI299425,James,Johnson, Male,30,Electrician Journeyman , Outfitting Docks,3,25,6/8/2020
HI902605,William,Brown, Male,37,Electrician Journeyman , Storage Areas,2,28,6/15/2020
HI970548,Jennifer,Smith, Female,53,Electrician Journeyman , Testing Facilities,1,22,6/22/2020
HI849436,Sarah,Brown, Female,46,Electrician Journeyman , Paint Shops,2,18,6/22/2020
HI177515,Michael,Martinez, Male,19,Electrician Journeyman , Slipways,2,25,6/29/2020
HI341656,Jennifer,Brown, Unknown,61,Electrician Journeyman , Wet Docks,3,28,7/6/2020
HI439088,David,Brown, Male,52,Electrician Journeyman , Storage Areas,3,28,7/13/2020
HI410347,David,Rodriguez, Male,53,Electrician Journeyman , Paint Shops,2,28,7/13/2020
HI852270,Charles,Johnson, Male,26,Electrician Journeyman , Slipways,3,22,7/13/2020
HI298686,John,Johnson, Male,23,Electrician Journeyman , Cranes and Heavy Lifting Equipment,2,25,7/20/2020
HI815185,Charles,Jones, Male,50,Electrician Journeyman , Fabrication Shops,4,22,7/27/2020
HI403859,Jennifer,Garcia, Female,29,Electrician Journeyman , Paint Shops,2,28,7/27/2020
HI312879,Jessica,Brown, Female,52,Electrician Journeyman , Wet Docks,3,22,8/3/2020
HI802925,Sarah,Brown, Female,38,Electrician Journeyman , Outfitting Docks,4,28,8/3/2020
HI220965,Patricia,Martinez, Female,35,Electrician Journeyman , Cranes and Heavy Lifting Equipment,2,18,8/10/2020
HI511675,William,Rodriguez, Male,61,Electrician Journeyman , Administrative Offices,4,18,8/10/2020
HI174483,Susan,Miller, Female,53,Electrician Journeyman , Slipways,3,28,9/7/2020
HI079637,Sarah,Johnson, Female,22,Electrician Journeyman , Dry Docks,1,28,9/14/2020
HI702389,Karen,Martinez, Female,46,Electrician Journeyman , Cranes and Heavy Lifting Equipment,2,25,9/28/2020
HI180977,Richard,Davis, Male,40,Electrician Journeyman , Outfitting Docks,2,28,10/12/2020
HI922659,Jennifer,Williams, Female,23,Electrician Journeyman , Testing Facilities,1,18,10/12/2020
HI432247,Robert,Brown, Male,48,Electrician Journeyman , Wet Docks,3,22,10/19/2020
HI217330,Charles,Garcia, Male,35,Electrician Journeyman , Slipways,4,18,10/19/2020
HI390139,Jennifer,Jones, Female,34,Electrician Journeyman , Fabrication Shops,3,22,10/19/2020
HI604974,William,Smith, Unknown,45,Electrician Journeyman , Paint Shops,1,22,11/2/2020
HI079148,Robert,Williams, Male,64,Electrician Journeyman , Administrative Offices,2,25,11/2/2020
HI749131,Barbara,Jones, Female,32,Electrician Journeyman , Dry Docks,2,28,11/2/2020
HI694824,James,Garcia, Male,64,Electrician Journeyman , Slipways,4,25,11/2/2020
HI922713,David,Davis, Male,24,Electrician Journeyman , Outfitting Docks,4,28,11/9/2020
HI091864,Barbara,Johnson, Female,65,Electrician Journeyman , Storage Areas,3,28,11/9/2020
HI944847,Joseph,Smith, Male,40,Electrician Journeyman , Administrative Offices,3,18,11/16/2020
HI930368,Richard,Rodriguez, Male,20,Electrician Journeyman , Testing Facilities,3,25,11/16/2020
HI925682,John,Williams, Male,50,Electrician Journeyman , Fabrication Shops,2,25,11/30/2020
HI371530,Mary,Rodriguez, Female,31,Electrician Journeyman , Paint Shops,1,25,11/30/2020
HI582040,Susan,Smith, Unknown,28,Electrician Journeyman , Outfitting Docks,3,28,12/7/2020
HI031754,Joseph,Rodriguez, Male,22,Electrician Journeyman , Dry Docks,2,25,12/14/2020
HI553150,James,Martinez, Male,33,Electrician Journeyman , Wet Docks,2,25,12/21/2020
HI930435,Karen,Smith, Female,62,Electrician Journeyman , Fabrication Shops,3,18,1/4/2021
HI641594,William,Garcia, Male,19,Electrician Journeyman , Slipways,3,28,1/18/2021
HI529068,John,Brown, Male,35,Electrician Journeyman , Paint Shops,1,28,1/18/2021
HI734519,Elizabeth,Martinez, Female,53,Electrician Journeyman , Testing Facilities,3,18,1/25/2021
HI766199,William,Garcia, Male,38,Electrician Journeyman , Fabrication Shops,3,25,2/1/2021
HI069454,Barbara,Jones, Female,36,Electrician Journeyman , Administrative Offices,2,28,2/8/2021
HI417818,Thomas,Johnson, Male,39,Electrician Journeyman , Fabrication Shops,2,28,2/15/2021
HI236292,Thomas,Johnson, Male,59,Electrician Journeyman , Fabrication Shops,1,25,2/22/2021
HI943763,James,Brown, Male,23,Electrician Journeyman , Storage Areas,1,18,2/22/2021
HI178171,Joseph,Rodriguez, Male,32,Electrician Journeyman , Storage Areas,2,18,2/22/2021
HI895312,Joseph,Davis, Male,61,Electrician Journeyman , Wet Docks,2,28,3/1/2021
HI183451,Elizabeth,Garcia, Unknown,53,Electrician Journeyman , Outfitting Docks,2,25,3/22/2021
HI817306,Jennifer,Garcia, Unknown,20,Electrician Journeyman , Fabrication Shops,3,18,4/12/2021
HI844412,Joseph,Martinez, Male,60,Electrician Journeyman , Cranes and Heavy Lifting Equipment,3,22,4/19/2021
HI531841,Linda,Jones, Female,48,Electrician Journeyman , Wet Docks,2,18,4/26/2021
HI990266,Thomas,Garcia, Male,39,Electrician Journeyman , Slipways,3,28,4/26/2021
HI446922,Thomas,Miller, Male,45,Electrician Journeyman , Storage Areas,4,18,5/10/2021
HI966165,Jennifer,Smith, Female,44,Electrician Journeyman , Wet Docks,2,18,5/10/2021
HI486190,Sarah,Williams, Female,58,Electrician Journeyman , Outfitting Docks,1,25,5/24/2021
HI861625,Richard,Davis, Male,47,Electrician Journeyman , Dry Docks,3,22,5/24/2021
HI965462,Karen,Brown, Female,20,Electrician Journeyman , Testing Facilities,3,18,5/31/2021
HI788648,Robert,Garcia, Male,58,Electrician Journeyman , Administrative Offices,4,18,5/31/2021
HI101503,Sarah,Rodriguez, Female,56,Electrician Journeyman , Paint Shops,4,28,6/14/2021
HI274703,Joseph,Johnson, Male,57,Electrician Journeyman , Storage Areas,2,18,6/14/2021
HI830263,Thomas,Garcia, Male,39,Electrician Journeyman , Dry Docks,3,18,6/21/2021
HI587921,Joseph,Miller, Male,41,Electrician Journeyman , Fabrication Shops,3,22,6/28/2021
HI949463,David,Brown, Male,29,Electrician Journeyman , Fabrication Shops,3,25,7/12/2021
HI595182,Elizabeth,Martinez, Female,63,Electrician Journeyman , Storage Areas,1,18,7/12/2021
HI303587,Susan,Garcia, Female,53,Electrician Journeyman , Cranes and Heavy Lifting Equipment,4,22,8/2/2021
HI789405,Susan,Miller, Female,47,Electrician Journeyman , Administrative Offices,3,25,8/16/2021
HI869165,William,Martinez, Male,25,Electrician Journeyman , Outfitting Docks,4,18,8/23/2021
HI185496,Mary,Smith, Unknown,34,Electrician Journeyman , Outfitting Docks,1,28,8/30/2021
HI982740,Mary,Johnson, Female,36,Electrician Journeyman , Storage Areas,1,28,9/6/2021
HI373000,Robert,Garcia, Male,44,Electrician Journeyman , Paint Shops,3,22,9/6/2021
HI368936,David,Jones, Male,24,Electrician Journeyman , Storage Areas,2,22,9/6/2021
HI048662,Sarah,Smith, Female,18,Electrician Journeyman , Dry Docks,4,28,9/27/2021
HI160808,Sarah,Williams, Female,58,Electrician Journeyman , Dry Docks,1,28,10/4/2021
HI678146,James,Williams, Unknown,23,Electrician Journeyman , Cranes and Heavy Lifting Equipment,2,28,10/25/2021
HI086743,Patricia,Jones, Female,53,Electrician Journeyman , Cranes and Heavy Lifting Equipment,3,28,10/25/2021
HI876958,David,Martinez, Male,34,Electrician Journeyman , Administrative Offices,2,18,11/22/2021
HI442138,Thomas,Garcia, Male,19,Electrician Journeyman , Dry Docks,1,22,11/22/2021
HI401366,James,Davis, Male,50,Electrician Journeyman , Slipways,3,18,12/6/2021
HI232309,John,Davis, Male,54,Electrician Journeyman , Slipways,2,18,12/13/2021
HI628644,John,Jones, Male,24,Electrician Journeyman , Wet Docks,2,18,12/13/2021
HI958002,Barbara,Garcia, Female,36,Electrician Journeyman , Storage Areas,3,22,12/13/2021
HI624189,Sarah,Miller, Female,41,Electrician Journeyman , Storage Areas,3,22,12/20/2021
HI290400,Richard,Williams, Unknown,19,Electrician Journeyman , Slipways,3,28,12/20/2021
HI362498,Sarah,Williams, Unknown,38,Electrician Journeyman , Paint Shops,2,18,12/27/2021
HI774617,Jessica,Martinez, Female,61,Electrician Journeyman , Outfitting Docks,2,25,1/3/2022
HI505772,Susan,Martinez, Female,37,Electrician Journeyman , Cranes and Heavy Lifting Equipment,3,22,1/10/2022
HI825125,Patricia,Miller, Female,57,Electrician Journeyman , Paint Shops,4,28,1/10/2022
HI331617,Mary,Rodriguez, Female,58,Electrician Journeyman , Slipways,3,22,2/14/2022
HI003930,Sarah,Jones, Unknown,33,Electrician Journeyman , Storage Areas,1,28,2/14/2022
HI151160,Karen,Miller, Female,52,Electrician Journeyman , Outfitting Docks,1,28,2/21/2022
HI378448,William,Jones, Male,65,Electrician Journeyman , Cranes and Heavy Lifting Equipment,1,22,2/28/2022
HI495555,William,Miller, Male,29,Electrician Journeyman , Outfitting Docks,3,25,3/14/2022
HI067008,Elizabeth,Garcia, Female,40,Electrician Journeyman , Outfitting Docks,2,18,4/11/2022
HI262075,Patricia,Johnson, Female,49,Electrician Journeyman , Slipways,4,18,4/18/2022
HI832771,Linda,Davis, Female,35,Electrician Journeyman , Storage Areas,2,25,4/25/2022
HI137584,Susan,Williams, Unknown,30,Electrician Journeyman , Storage Areas,3,25,5/2/2022
HI294218,Mary,Garcia, Female,55,Electrician Journeyman , Slipways,3,18,5/2/2022
HI199091,Elizabeth,Rodriguez, Female,59,Electrician Journeyman , Paint Shops,2,28,5/16/2022
HI980620,Sarah,Johnson, Female,28,Electrician Journeyman , Wet Docks,4,22,5/23/2022
HI426768,James,Garcia, Male,37,Electrician Journeyman , Administrative Offices,2,22,5/30/2022
HI949268,Jennifer,Martinez, Female,20,Electrician Journeyman , Outfitting Docks,2,28,6/6/2022
HI116400,Charles,Martinez, Male,42,Electrician Journeyman , Testing Facilities,1,25,6/13/2022
HI842966,David,Miller, Male,57,Electrician Journeyman , Storage Areas,2,18,6/27/2022
HI054410,Linda,Miller, Female,63,Electrician Journeyman , Dry Docks,2,18,6/27/2022
HI397140,Charles,Brown, Male,49,Electrician Journeyman , Storage Areas,1,18,6/27/2022
HI057613,Thomas,Rodriguez, Male,26,Electrician Journeyman , Cranes and Heavy Lifting Equipment,3,18,7/4/2022
HI079130,Joseph,Smith, Male,33,Electrician Journeyman , Outfitting Docks,3,28,7/11/2022
HI575726,Charles,Williams, Male,22,Electrician Journeyman , Cranes and Heavy Lifting Equipment,1,22,7/18/2022
HI701400,David,Miller, Male,60,Electrician Journeyman , Fabrication Shops,2,28,7/25/2022
HI563398,Thomas,Davis, Male,64,Electrician Journeyman , Fabrication Shops,3,25,7/25/2022
HI401850,Robert,Smith, Male,57,Electrician Journeyman , Storage Areas,3,18,7/25/2022
HI836188,David,Smith, Male,29,Electrician Journeyman , Fabrication Shops,2,18,8/8/2022
HI951209,Joseph,Rodriguez, Male,61,Electrician Journeyman , Storage Areas,2,18,8/15/2022
HI886307,Karen,Rodriguez, Female,44,Electrician Journeyman , Cranes and Heavy Lifting Equipment,2,28,8/15/2022
HI760860,Sarah,Martinez, Female,63,Electrician Journeyman , Wet Docks,3,22,9/5/2022
HI920311,Susan,Garcia, Female,36,Electrician Journeyman , Dry Docks,1,28,9/5/2022
HI523611,Michael,Smith, Male,62,Electrician Journeyman , Cranes and Heavy Lifting Equipment,1,28,9/12/2022
HI565823,Joseph,Miller, Male,30,Electrician Journeyman , Administrative Offices,1,22,9/19/2022
HI277620,Thomas,Rodriguez, Male,41,Electrician Journeyman , Wet Docks,1,22,9/26/2022
HI584120,Michael,Miller, Unknown,45,Electrician Journeyman , Administrative Offices,2,28,10/3/2022
HI072933,Sarah,Johnson, Female,41,Electrician Journeyman , Dry Docks,2,25,10/17/2022
HI165831,David,Williams, Male,24,Electrician Journeyman , Dry Docks,4,28,10/31/2022
HI888685,Linda,Rodriguez, Female,40,Electrician Journeyman , Fabrication Shops,4,25,11/7/2022
HI179877,Sarah,Rodriguez, Female,48,Electrician Journeyman , Cranes and Heavy Lifting Equipment,3,28,11/28/2022
HI907846,Mary,Martinez, Unknown,38,Electrician Journeyman , Dry Docks,3,22,11/28/2022
HI715488,Jessica,Rodriguez, Female,46,Electrician Journeyman , Testing Facilities,2,28,12/12/2022
HI025081,Richard,Rodriguez, Male,32,Electrician Journeyman , Cranes and Heavy Lifting Equipment,4,28,12/19/2022
HI929880,Mary,Johnson, Female,60,Electrician Journeyman , Slipways,1,18,12/19/2022
HI690139,Patricia,Davis, Female,64,Electrician Journeyman , Outfitting Docks,2,18,12/19/2022
HI393130,Mary,Jones, Female,38,Electrician Journeyman , Slipways,4,18,12/26/2022
HI887431,John,Miller, Male,38,Electrician Journeyman , Wet Docks,2,18,1/2/2023
HI968375,Susan,Johnson, Female,44,Electrician Journeyman , Dry Docks,3,22,1/9/2023
HI497136,Sarah,Davis, Female,21,Electrician Journeyman , Storage Areas,1,18,1/9/2023
HI524873,William,Smith, Unknown,43,Electrician Journeyman , Storage Areas,1,22,1/16/2023
HI579426,Linda,Brown, Female,57,Electrician Journeyman , Paint Shops,1,22,1/23/2023
HI552924,Thomas,Garcia, Male,28,Electrician Journeyman , Fabrication Shops,2,25,1/23/2023
HI417321,Thomas,Johnson, Male,20,Electrician Journeyman , Outfitting Docks,3,22,2/6/2023
HI179909,Robert,Martinez, Male,64,Electrician Journeyman , Slipways,2,22,2/6/2023
HI789680,Mary,Smith, Female,41,Electrician Journeyman , Slipways,3,22,2/13/2023
HI516203,Richard,Williams, Unknown,55,Electrician Journeyman , Storage Areas,3,25,2/13/2023
HI965947,Karen,Johnson, Female,65,Electrician Journeyman , Cranes and Heavy Lifting Equipment,1,25,2/20/2023
HI551814,Robert,Jones, Unknown,32,Electrician Journeyman , Administrative Offices,3,22,2/20/2023
HI489337,Barbara,Davis, Female,26,Electrician Journeyman , Fabrication Shops,1,18,2/20/2023
HI965408,Susan,Jones, Female,44,Electrician Journeyman , Outfitting Docks,2,28,2/20/2023
HI731197,Barbara,Martinez, Female,53,Electrician Journeyman , Administrative Offices,2,28,3/13/2023
HI418816,Robert,Garcia, Unknown,33,Electrician Journeyman , Storage Areas,4,22,3/13/2023
HI508401,Karen,Miller, Unknown,56,Electrician Journeyman , Fabrication Shops,2,18,3/13/2023
HI882775,James,Smith, Male,20,Electrician Journeyman , Storage Areas,1,22,3/13/2023
HI512217,Elizabeth,Brown, Female,37,Electrician Journeyman , Administrative Offices,3,22,4/3/2023
HI032922,Robert,Williams, Male,35,Electrician Journeyman , Storage Areas,2,22,4/3/2023
HI487314,Charles,Williams, Male,50,Electrician Journeyman , Cranes and Heavy Lifting Equipment,2,28,4/3/2023
HI060863,Elizabeth,Miller, Female,53,Electrician Journeyman , Outfitting Docks,2,22,4/17/2023
HI048252,Mary,Rodriguez, Female,22,Electrician Journeyman , Wet Docks,3,25,4/17/2023
HI033284,Robert,Williams, Male,35,Electrician Journeyman , Cranes and Heavy Lifting Equipment,4,28,4/17/2023
HI518914,Richard,Brown, Male,35,Electrician Journeyman , Fabrication Shops,1,28,5/1/2023
HI932049,Michael,Jones, Male,36,Electrician Journeyman , Dry Docks,4,18,5/1/2023
HI931510,Robert,Brown, Male,25,Electrician Journeyman , Cranes and Heavy Lifting Equipment,3,18,5/8/2023
HI787171,Karen,Brown, Unknown,51,Electrician Journeyman , Testing Facilities,3,28,5/29/2023
HI311685,Patricia,Martinez, Female,60,Electrician Journeyman , Slipways,4,25,6/5/2023
HI902592,Karen,Williams, Unknown,32,Electrician Journeyman , Dry Docks,2,22,6/12/2023
HI691270,Mary,Martinez, Female,58,Electrician Journeyman , Dry Docks,1,25,6/19/2023
HI409561,Jennifer,Davis, Female,44,Electrician Journeyman , Storage Areas,3,25,6/19/2023
HI502479,Jennifer,Rodriguez, Female,65,Electrician Journeyman , Storage Areas,1,28,6/26/2023
HI969309,Elizabeth,Brown, Female,65,Electrician Journeyman , Outfitting Docks,4,28,6/26/2023
HI165684,Michael,Davis, Male,59,Electrician Journeyman , Cranes and Heavy Lifting Equipment,2,28,7/3/2023
HI646138,David,Rodriguez, Male,42,Electrician Journeyman , Testing Facilities,3,18,7/10/2023
HI832219,David,Miller, Male,23,Electrician Journeyman , Administrative Offices,2,22,7/17/2023
HI722087,Patricia,Brown, Female,31,Electrician Journeyman , Cranes and Heavy Lifting Equipment,4,18,7/17/2023
HI601634,Elizabeth,Martinez, Female,21,Electrician Journeyman , Slipways,3,18,7/24/2023
HI874541,Jennifer,Jones, Female,56,Electrician Journeyman , Dry Docks,1,22,7/31/2023
HI947531,Linda,Johnson, Female,35,Electrician Journeyman , Testing Facilities,3,28,7/31/2023
HI769797,Thomas,Johnson, Male,34,Electrician Journeyman , Outfitting Docks,3,22,8/7/2023
HI725765,David,Jones, Male,36,Electrician Journeyman , Dry Docks,2,28,8/7/2023
HI584296,Robert,Johnson, Male,29,Electrician Journeyman , Fabrication Shops,1,18,8/21/2023
HI580275,Sarah,Jones, Female,65,Electrician Journeyman , Cranes and Heavy Lifting Equipment,3,25,8/21/2023
HI275756,Jennifer,Davis, Female,65,Electrician Journeyman , Administrative Offices,2,28,8/21/2023
HI965161,Thomas,Miller, Male,62,Electrician Journeyman , Paint Shops,2,25,9/25/2023
HI210969,Barbara,Smith, Female,55,Electrician Journeyman , Testing Facilities,3,18,10/2/2023
HI974829,Joseph,Smith, Male,55,Electrician Journeyman , Fabrication Shops,1,25,10/2/2023
HI626973,Elizabeth,Miller, Female,59,Electrician Journeyman , Paint Shops,3,28,10/2/2023
HI456656,Sarah,Smith, Female,64,Electrician Journeyman , Cranes and Heavy Lifting Equipment,2,25,10/9/2023
HI993059,Robert,Jones, Male,64,Electrician Journeyman , Slipways,3,28,10/9/2023
HI987467,Charles,Rodriguez, Male,22,Electrician Journeyman , Testing Facilities,2,25,10/9/2023
HI277925,Richard,Jones, Male,45,Electrician Journeyman , Outfitting Docks,2,25,10/9/2023
HI845813,Susan,Johnson, Female,31,Electrician Journeyman , Paint Shops,3,28,10/30/2023
HI552606,Karen,Davis, Unknown,25,Electrician Journeyman , Dry Docks,3,22,10/30/2023
HI146432,David,Williams, Male,50,Electrician Journeyman , Paint Shops,3,22,10/30/2023
HI019426,David,Williams, Male,56,Electrician Journeyman , Paint Shops,1,25,11/27/2023
HI713543,David,Miller, Male,31,Electrician Journeyman , Paint Shops,2,25,12/4/2023
HI469601,Jennifer,Martinez, Female,40,Electrician Journeyman , Fabrication Shops,4,28,12/11/2023
HI130420,Charles,Johnson, Male,29,Electrician Journeyman , Dry Docks,3,28,12/18/2023
HI114410,Michael,Rodriguez, Unknown,44,Electrician Journeyman , Fabrication Shops,2,18,12/25/2023
HI191619,Thomas,Williams, Male,35,Electrician Journeyman , Outfitting Docks,3,18,12/25/2023
HI391747,Linda,Miller, Female,19,Electrician Journeyman , Slipways,3,22,12/25/2023
HI919608,Linda,Johnson, Female,32,Electrician Journeyman , Paint Shops,3,18,1/8/2024
HI237171,Elizabeth,Jones, Female,33,Electrician Journeyman , Testing Facilities,1,18,1/8/2024
HI454839,Jennifer,Brown, Female,50,Electrician Journeyman , Fabrication Shops,2,25,1/15/2024
HI312511,Richard,Garcia, Male,24,Electrician Journeyman , Administrative Offices,1,22,1/15/2024
HI171459,Mary,Miller, Female,50,Electrician Journeyman , Cranes and Heavy Lifting Equipment,2,28,1/15/2024
HI757614,Elizabeth,Martinez, Female,29,Electrician Journeyman , Slipways,1,22,2/5/2024
HI160081,Richard,Miller, Male,38,Electrician Journeyman , Outfitting Docks,4,22,2/12/2024
HI463498,John,Williams, Male,39,Electrician Journeyman , Administrative Offices,1,22,2/19/2024
HI575127,Thomas,Rodriguez, Male,23,Electrician Journeyman , Outfitting Docks,3,28,2/19/2024
HI150816,Jennifer,Davis, Female,31,Electrician Journeyman , Cranes and Heavy Lifting Equipment,1,18,3/11/2024
HI863321,Karen,Miller, Female,61,Electrician Journeyman , Storage Areas,4,25,4/1/2024
HI243573,Karen,Brown, Female,42,Electrician Journeyman , Outfitting Docks,4,28,4/8/2024
HI704327,Elizabeth,Jones, Female,29,Electrician Journeyman , Cranes and Heavy Lifting Equipment,2,22,4/22/2024
HI609289,Joseph,Davis, Male,65,Electrician Journeyman , Slipways,3,28,4/22/2024
HI158714,Patricia,Johnson, Female,44,Electrician Journeyman , Cranes and Heavy Lifting Equipment,3,28,4/29/2024
HI997732,Michael,Garcia, Male,29,Electrician Journeyman , Fabrication Shops,3,28,4/29/2024
HI639130,Robert,Garcia, Male,21,Electrician Journeyman , Outfitting Docks,2,22,5/6/2024
HI497304,Susan,Davis, Female,64,Electrician Journeyman , Dry Docks,4,28,5/13/2024
HI712868,Robert,Brown, Male,61,Electrician Journeyman , Outfitting Docks,4,18,5/13/2024
HI047570,Linda,Brown, Female,40,Electrician Journeyman , Administrative Offices,3,25,5/27/2024
HI304378,Robert,Davis, Male,26,Electrician Journeyman , Fabrication Shops,4,28,5/27/2024
HI745483,Barbara,Johnson, Female,53,Electrician Journeyman , Storage Areas,3,25,6/3/2024
HI455188,John,Brown, Male,42,Electrician Journeyman , Fabrication Shops,3,22,6/3/2024
HI127647,John,Williams, Male,50,Electrician Journeyman , Administrative Offices,3,18,6/17/2024
HI092959,James,Johnson, Male,54,Electrician Journeyman , Outfitting Docks,4,25,6/17/2024
HI819059,Richard,Williams, Male,44,Electrician Journeyman , Outfitting Docks,3,25,7/1/2024
HI395728,Karen,Miller, Female,28,Electrician Journeyman , Dry Docks,3,22,7/8/2024
HI579465,Jennifer,Miller, Female,19,Electrician Journeyman , Paint Shops,1,25,7/15/2024
HI596697,Jessica,Smith, Female,31,Electrician Journeyman , Cranes and Heavy Lifting Equipment,2,28,7/15/2024
HI055504,Elizabeth,Garcia, Female,41,Electrician Journeyman , Fabrication Shops,4,18,7/15/2024
HI911250,James,Miller, Male,64,Electrician Journeyman , Fabrication Shops,1,22,7/15/2024
HI399979,Susan,Garcia, Female,34,Electrician Journeyman , Outfitting Docks,4,28,7/29/2024
HI188697,Barbara,Garcia, Unknown,62,Electrician Journeyman , Administrative Offices,1,18,7/29/2024
HI277159,David,Martinez, Male,43,Electrician Journeyman , Outfitting Docks,3,25,8/5/2024
HI082672,Linda,Miller, Unknown,37,Electrician Journeyman , Slipways,3,25,8/12/2024
HI570888,Barbara,Davis, Female,42,Electrician Journeyman , Administrative Offices,2,25,8/19/2024
HI796093,John,Smith, Male,63,Electrician Journeyman , Paint Shops,4,18,8/26/2024
HI880262,Mary,Williams, Female,22,Electrician Journeyman , Wet Docks,3,18,9/2/2024
HI946688,Richard,Williams, Male,63,Electrician Journeyman , Fabrication Shops,3,18,9/9/2024
HI582268,Patricia,Johnson, Female,59,Electrician Journeyman , Storage Areas,2,22,9/9/2024
HI793828,Robert,Martinez, Male,38,Electrician Journeyman , Storage Areas,3,18,9/16/2024
HI639500,William,Smith, Male,19,Electrician Journeyman , Dry Docks,2,22,9/23/2024
HI933137,Jennifer,Rodriguez, Female,24,Electrician Journeyman , Fabrication Shops,3,28,9/30/2024
HI855014,David,Smith, Male,30,Electrician Journeyman , Paint Shops,1,28,9/30/2024
HI592405,Richard,Miller, Male,60,Electrician Journeyman , Dry Docks,1,22,10/7/2024
HI785885,Richard,Garcia, Male,37,Electrician Journeyman , Wet Docks,3,22,10/14/2024
HI301718,Linda,Miller, Female,30,Electrician Journeyman , Cranes and Heavy Lifting Equipment,3,25,10/14/2024
HI437640,Karen,Rodriguez, Female,41,Electrician Journeyman , Storage Areas,2,22,10/21/2024
HI448756,Sarah,Williams, Female,29,Electrician Journeyman , Cranes and Heavy Lifting Equipment,3,28,10/28/2024
HI962020,Sarah,Davis, Female,62,Electrician Journeyman , Fabrication Shops,1,25,10/28/2024
HI478460,Mary,Garcia, Female,44,Electrician Journeyman , Fabrication Shops,1,25,10/28/2024
HI228981,Mary,Garcia, Unknown,48,Electrician Journeyman , Outfitting Docks,2,18,11/4/2024
HI492779,Sarah,Miller, Female,36,Electrician Journeyman , Wet Docks,4,22,11/4/2024
HI753014,Susan,Jones, Female,38,Electrician Journeyman , Wet Docks,4,25,11/4/2024
HI182761,Karen,Miller, Female,22,Electrician Journeyman , Paint Shops,3,25,11/4/2024
HI764407,Patricia,Williams, Unknown,53,Electrician Journeyman , Dry Docks,3,18,11/4/2024
HI824308,Robert,Martinez, Unknown,19,Electrician Journeyman , Testing Facilities,4,18,11/11/2024
HI477561,Thomas,Brown, Male,46,Electrician Journeyman , Testing Facilities,4,18,11/11/2024
HI937326,Jessica,Jones, Unknown,64,Electrician Journeyman , Dry Docks,4,28,11/25/2024
